filename,source_url,pages,variant_count,variant_urls,status,http_status,content_type,bytes,width,height,format,sha256,web_filename,web_width,web_height,web_bytes
142b26_8ddd02a733d04a139fdd19e058e72d94~mv2.jpg,https://static.wixstatic.com/media/142b26_8ddd02a733d04a139fdd19e058e72d94~mv2.jpg,home,2,"https://static.wixstatic.com/media/142b26_8ddd02a733d04a139fdd19e058e72d94~mv2.jpg/v1/crop/x_479,y_117,w_2410,h_2718/fill/w_109,h_123,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/FINAL LAYOUT.jpg | https://static.wixstatic.com/media/142b26_8ddd02a733d04a139fdd19e058e72d94~mv2.jpg/v1/crop/x_563,y_64,w_2177,h_2824/fill/w_94,h_123,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/FINAL LAYOUT.jpg",downloaded,200,image/jpeg,11421624,3543,2953,JPEG,0917a7973690315da12b0386f2668ad908b758d40442b852dc58cdb5355e1dc5,142b26_8ddd02a733d04a139fdd19e058e72d94~mv2.webp,1920,1600,744176
142b26_98457ab978a1424ea9cda2583fe1def9~mv2.png,https://static.wixstatic.com/media/142b26_98457ab978a1424ea9cda2583fe1def9~mv2.png,home,1,"https://static.wixstatic.com/media/142b26_98457ab978a1424ea9cda2583fe1def9~mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7.png",downloaded,200,image/png,26154,1080,1080,PNG,8b07ebed29824daa899fd6496427ecebe0182058a406da953675135828aa45f4,142b26_98457ab978a1424ea9cda2583fe1def9~mv2.webp,1080,1080,9264
142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png,https://static.wixstatic.com/media/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png,home,3,"https://static.wixstatic.com/media/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png/v1/fit/w_1920,h_927,q_90,enc_avif,quality_auto/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png | https://static.wixstatic.com/media/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png/v1/fit/w_3840,h_1854,q_90,enc_avif,quality_auto/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png | https://static.wixstatic.com/media/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png/v1/fit/w_4638,h_2239,q_90,enc_avif,quality_auto/142b26_a329de8538c44092bb941ee925dbcd7c~mv2.png",downloaded,200,image/png,9014222,3840,2705,PNG,1a92f7dbc5ad2e1de6f8864bc5667256e203c13727687ae1fc8b4ead3cf893a0,142b26_a329de8538c44092bb941ee925dbcd7c~mv2.webp,1920,1352,965278
142b26_a79caac8357141ef89993d2115817696~mv2.jpg,https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg,"gallery,home",8,"https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fill/w_140,h_140,q_70,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_1920,h_1080,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_3840,h_2160,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg | https://static.wixstatic.com/media/142b26_a79caac8357141ef89993d2115817696~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_a79caac8357141ef89993d2115817696~mv2.jpg",downloaded,200,image/jpeg,7804373,3840,2160,JPEG,b7c1fd5151f16efac3ec0c7dc6664e47ce6bbfa2ee5f24aac098a23cd5faea1b,142b26_a79caac8357141ef89993d2115817696~mv2.webp,1920,1080,547258
142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg,https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg,"gallery,home",6,"https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg/v1/fill/w_140,h_140,q_70,enc_avif,quality_auto/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg | https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg | https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg | https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg/v1/fit/w_2400,h_4265,q_90,enc_avif,quality_auto/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg | https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg | https://static.wixstatic.com/media/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.jpg",downloaded,200,image/jpeg,23931388,7680,4320,JPEG,bd3b04b0927c33028d02ec38fe299cce106d93753fe429819e15dc63cebe5489,142b26_a8649ae42bca482cbbafe84794fe8a6e~mv2.webp,1920,1080,398740
142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg,https://static.wixstatic.com/media/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg,home,5,"https://static.wixstatic.com/media/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg | https://static.wixstatic.com/media/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg | https://static.wixstatic.com/media/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg/v1/fit/w_2400,h_4265,q_90,enc_avif,quality_auto/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg | https://static.wixstatic.com/media/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg | https://static.wixstatic.com/media/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.jpg",downloaded,200,image/jpeg,25585006,7680,4320,JPEG,8b45b931bcca28d1ea00d5cdbc8be6908a9d5808fb5fea22d0d5b8125a8a0ee5,142b26_acda3bc9aaa84bfc976803cdcbdce73f~mv2.webp,1920,1080,477780
142b26_b52923b4599745df825e9d06157b43d3~mv2.jpg,https://static.wixstatic.com/media/142b26_b52923b4599745df825e9d06157b43d3~mv2.jpg,home,2,"https://static.wixstatic.com/media/142b26_b52923b4599745df825e9d06157b43d3~mv2.jpg/v1/fit/w_1600,h_773,q_90,enc_avif,quality_auto/142b26_b52923b4599745df825e9d06157b43d3~mv2.jpg | https://static.wixstatic.com/media/142b26_b52923b4599745df825e9d06157b43d3~mv2.jpg/v1/fit/w_1931,h_932,q_90,enc_avif,quality_auto/142b26_b52923b4599745df825e9d06157b43d3~mv2.jpg",downloaded,200,image/jpeg,429362,1600,1127,JPEG,3f92b1165ca6edd7211b301e06e22f42c580f971ff7db254cc05f135c7eee73c,142b26_b52923b4599745df825e9d06157b43d3~mv2.webp,1600,1127,562814
142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg,https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg,"gallery,home",6,"https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg/v1/fill/w_140,h_140,q_70,enc_avif,quality_auto/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg | https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg/v1/fit/w_1440,h_2559,q_90,enc_avif,quality_auto/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg | https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg/v1/fit/w_1920,h_3412,q_90,enc_avif,quality_auto/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg | https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg/v1/fit/w_2160,h_3838,q_90,enc_avif,quality_auto/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg | https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg/v1/fit/w_480,h_853,q_90,enc_avif,quality_auto/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg | https://static.wixstatic.com/media/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg/v1/fit/w_960,h_1706,q_90,enc_avif,quality_auto/142b26_bdabb7cd17f741ee815019462732e449~mv2.jpg",downloaded,200,image/jpeg,6620333,3840,2160,JPEG,0b1afec93bd24dd091c85a6201403f79eaa63ff720357eb5ebfd9818e2a7f2c2,142b26_bdabb7cd17f741ee815019462732e449~mv2.webp,1920,1080,408454
142b26_bddb7151495f4ff2a9d71a606def46bf~mv2.jpeg,https://static.wixstatic.com/media/142b26_bddb7151495f4ff2a9d71a606def46bf~mv2.jpeg,gallery,1,"https://static.wixstatic.com/media/142b26_bddb7151495f4ff2a9d71a606def46bf~mv2.jpeg/v1/fit/w_2500,h_1330,al_c/142b26_bddb7151495f4ff2a9d71a606def46bf~mv2.jpeg",downloaded,200,image/jpeg,1128198,3840,2160,JPEG,3862342a9c434735be228b5025f469f4bd986cdb3aa8bddc23cf5f935201688c,142b26_bddb7151495f4ff2a9d71a606def46bf~mv2.webp,1920,1080,358870
142b26_cb62ea3cf3a1420399ec2e43c1dee85f~mv2.png,https://static.wixstatic.com/media/142b26_cb62ea3cf3a1420399ec2e43c1dee85f~mv2.png,home,1,"https://static.wixstatic.com/media/142b26_cb62ea3cf3a1420399ec2e43c1dee85f~mv2.png/v1/fill/w_128,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/142b26_cb62ea3cf3a1420399ec2e43c1dee85f~mv2.png",downloaded,200,image/png,755598,1320,930,JPEG,e1de824cfafe22f615123b973b2f159b328e6af81aca9369aa105db428aaf1db,142b26_cb62ea3cf3a1420399ec2e43c1dee85f~mv2.webp,1320,930,506004
